date,Show_name,Show_theatre,This_Week_Gross,Difference,Average_ticket,Top_ticket,Seats_Sold,Seats_in_theater,Perfs,Previews,%cap,diff_cap,date_type,show_type
2023-03-12,& Juliet,Stephen Sondheim Theatre,1095904,80586.7,$141.15 ,$323.00,"7,764",1026,8,0,94.59%,1.83%,post,Musical
2023-03-12,Aladdin,New Amsterdam Theatre,1186378.6,197203.1,$89.80 ,$215.50,"13,212",1727,8,0,95.63%,2.12%,post,Musical
2023-03-12,Bad Cinderella,Imperial Theatre,592937.6,24772.74,$68.44 ,$297.00,"8,663",1398,0,7,88.52%,-0.33%,post,Musical
2023-03-12,"A Beautiful Noise, The Neil Diamond Musical",Broadhurst Theatre,843922.45,42707.5,$136.42 ,$347.50,"6,186",1152,8,0,67.12%,4.70%,post,Musical
2023-03-12,The Book of Mormon,Eugene O'Neill Theatre,1006541.36,128479.91,$118.79 ,$0.00,"8,473",1066,8,0,99.36%,5.05%,post,Musical
2023-03-12,Camelot,Vivian Beaumont Theater,486692,0,$122.35 ,$249.00,"3,978",1047,0,4,94.99%,0.00%,post,Musical
2023-03-12,Chicago,Ambassador Theatre,913160.9,119308.75,$105.35 ,$237.00,"8,668",1080,8,0,100.32%,7.37%,post,Musical
2023-03-12,Dancin',Music Box Theatre,415250.7,83494.2,$85.32 ,$297.00,"4,867",989,0,6,82.02%,-5.67%,post,Musical
2023-03-12,A Doll's House,Hudson Theatre,728913,-13783,$98.84 ,$299.00,"7,375",946,4,4,97.45%,4.44%,post,Play
2023-03-12,Funny Girl,August Wilson Theatre,1850558.5,43166.13,$197.75 ,$0.00,"9,358",1219,8,0,95.96%,5.24%,post,Musical
2023-03-12,Hadestown,Walter Kerr Theatre,799277,127328.75,$109.55 ,$0.00,"7,296",918,8,0,99.35%,6.93%,post,Musical
2023-03-12,Hamilton,Richard Rodgers Theatre,1915462,281476,$178.32 ,$449.00,"10,742",1324,8,0,101.42%,1.03%,post,Musical
2023-03-12,Harry Potter and the Cursed Child,Lyric Theatre,1206165.4,66767.2,$108.13 ,$299.00,"11,155",1622,8,0,85.97%,3.58%,post,Play
2023-03-12,Kimberly Akimbo,Booth Theatre,483378.1,9760.95,$89.95 ,$263.00,"5,374",773,8,0,86.90%,2.96%,post,Musical
2023-03-12,Leopoldstadt,Longacre Theatre,565856.6,20712.4,$95.92 ,$347.00,"5,899",1075,8,0,68.59%,7.59%,post,Play
2023-03-12,Life of Pi,Gerald Schoenfeld Theatre,376362.05,0,$77.00 ,$277.00,"4,888",990,0,5,98.75%,0.00%,post,Play
2023-03-12,The Lion King,Minskoff Theatre,1637904,-47686,$121.86 ,$199.00,"13,441",1696,8,0,99.06%,3.03%,post,Musical
2023-03-12,MJ The Musical,Neil Simon Theatre,1564181,84689.5,$147.06 ,$250.00,"10,636",1387,8,0,95.85%,2.48%,post,Musical
2023-03-12,Moulin Rouge! The Musical,Al Hirschfeld Theatre,1400056.91,100003.46,$135.74 ,$0.00,"10,314",1300,8,0,99.17%,2.29%,post,Musical
2023-03-12,Parade,Bernard B. Jacobs Theatre,861706.9,-52803.43,$127.10 ,$297.00 ,"6,780",1020,0,7,94.96%,0.46%,post,Musical
2023-03-12,The Phantom of the Opera,Majestic Theatre,2740311.2,197884.2,$209.94 ,$497.00,"13,053",1605,8,0,101.66%,0.85%,post,Musical
2023-03-12,Pictures From Home,Studio 54,311782,-22321,$68.95 ,$297.00,"4,522",807,8,0,70.04%,5.36%,post,Play
2023-03-12,Shucked,Nederlander Theatre,291971.5,0,$50.14 ,$179.00,"5,823",1171,0,5,99.45%,0.00%,post,Musical
2023-03-12,SIX: The Musical,Lena Horne Theatre,1096701,159732,$137.55 ,$249.00,"7,973",1031,8,0,96.67%,4.66%,post,Musical
2023-03-12,Some Like It Hot,Sam S. Shubert Theatre,772567.2,108932.6,$94.77 ,$257.00,"8,152",1448,8,0,70.37%,7.76%,post,Musical
2023-03-12,Swedney Todd,Lunt-Fontanne Theatre,1805510,279256,$172.18 ,$399.00 ,"10,486",1498,0,7,100.00%,0.00%,post,Musical
2023-03-12,Wicked,Gershwin Theatre,1689369,301073,$114.98 ,$275.00,"14,693",1867,8,0,98.40%,9.69%,post,Musical
2023-03-05,& Juliet,Stephen Sondheim Theatre,1015317.3,-214222.7,$133.35 ,$323.00,"7,614",1026,8,0,92.76%,-7.82%,post,Musical
2023-03-05,Aladdin,New Amsterdam Theatre,989175.5,-416276.7,$76.57 ,$215.50,"12,919",1727,8,0,93.51%,-6.14%,post,Musical
2023-03-05,Bad Cinderella,Imperial Theatre,568164.86,-116656.79,$65.34 ,$297.00,"8,695",1398,0,7,88.85%,-4.21%,post,Musical
2023-03-05,"A Beautiful Noise, The Neil Diamond Musical",Broadhurst Theatre,801214.95,-82518.43,$139.27 ,$347.50,"5,753",1152,8,0,62.42%,-9.66%,post,Musical
